title,sentiment
경찰 이호진 태광그룹 회장 자택 등 압수수색 횡령 배임 혐의,-1
NH농협은행 무디스 신용등급 A1 Aa3 상향 조정,1
"카이투스, 미국 알테로스와 무인비행선 국내외 파트너십 계약",1
"SK디앤디, 의성 황학산 풍력발전단지 EPC계약 체결",1
산은 HMM 매각 구조 확정 공고 영구채 1조원 전환해 같이 판다,0
검찰 김성태 전 쌍방울 회장 조사 돌입 내일 구속영장 청구할 듯,0
삼성중공업 8623억원 규모 LNG 운반선 3척 수주,1
SM 시세조종 의혹 김범수 카카오 창업자 오늘 금감원 출석,-1
넷마블 지난해 영업손실 1044억 신작 출시 지연 등 영향,-1
반도체 경기침체 직격탄 삼성전자 어닝쇼크,0
삼성SDI 차세대 배터리 소재 합작법인 설립,0
유한 한미 이어 종근당까지 K 제약 신약기술 수출 훈풍,1
철근누락 GS건설 철퇴 10개월 영업정지 처분,-1
휴온스 주당 300원 중간 현금배당 결정,1
현대카드 피치 신용등급 전망 BBB Positive 로 상향,1
몸집 불리기 속도 내는 카카오엔터 美 상장도 검토,-1
티웨이항공 장거리 기종 추가 도입 검토 북미 유럽 노선 취항 포석,-1
CJ ENM 1조 美할리우드 스튜디오 되판다,1
에스티팜 179억 규모 원료의약품 공급계약 체결,1
셀트리온 3번째 항암 바이오시밀러 베그젤마 캐나다 판매허가 4조원 북미시장 정조준,1
포스코인터내셔널 에너지 식량 사업 등 직접 영위하는 종합사업회사 로 진화,1
네이버페이 일주일 만에 또 장애 1시간 넘게 접속 오류,-1
현대차 노조 합법적 파업권 확보 먹구름 낀 현대차,-1
한세실업 공개매수에 주가 급등,0
현대엔지니어링 전기차 충전 사업 본격화,1
포스코홀딩스 실리콘음극재 설비 투자 포트폴리오 완성,1
카카오모빌리티 업무용 택시사업,-1
손오공 최대주주 변경 주식 양수도 계약 체결,0
기아 오토랜드 화성 공장서 불 EV6 등 도장 라인 가동 중단,-1
오뚜기 즉석밥 오뚜기밥 누적 생산량 20억개 돌파,1
네이버 이해진 국내 플랫폼 규제 해외 업체와 경쟁 뒤쳐질 수 있어,-1
SK네트웍스 SK렌터카 100 자회사로 편입,1
기아 英 오토카 선정 최고의 제조사,1
삼성重 삼성전자 반도체 공장 공사 수주 1600억 규모,0
삼성 폰 中서 0 굴욕 벗어나려면 플래그십 공략 강화해야,1
삼성중공업 8623억원 규모 LNG 운반선 3척 수주,1
SK스퀘어 발렌베리家 사모펀드에 SK쉴더스 매각 8646억 빅딜 실탄 마련,-1
디플랜360 인수한 이노션 9조 규모 디지털 마케팅 시장 공략,0
LG엔솔 미국 배터리 생산 승부수 2025년까지 5조 투자,1
LG 구광모 회장에 가족이 상속회복청구소송 LG 합의따른 적법한 상속,-1
대우건설 해외부동산 개발 박차 글로벌 디벨로퍼 입지 다져,0
카카오모빌리티 업무용 택시사업,-1
삼성중공업 8623억원 규모 LNG 운반선 3척 수주,1
KT클라우드 6000억원 투자 유치,1
네이버 AI 기술 접목 수익사업 본격 나서,0
SK이노베이션 조단위 유상증자 쇼크 벗어나나,-1
JYP엔터 장중 신고가 내년 이익 20 증가 기대,1
프라이버시 강화 기술 스타트업 디사일로…LG전자서 전략적 투자 유치,1
코오롱글로벌 서울 번동1 8구역 가로주택정비사업 싹쓸이 수주,1
LG화학 中 화유코발트 자회사와 양극재 합작법인 설립,1
현대로템 노르웨이 K2 전차 수주 무산 5 대 하락,-1
두산 로봇자회사 상장설에 급등,0
하림 이어 동원그룹도 HMM 인수전 뛰어드나,0
위메이드 미르M 글로벌 CBT 성료,-1
삼성엔지니어링 2842억 규모 골조공사 수주,1
OCI 지주회사로 전환하고 화학부문 인적분할,0
휴젤 보툴렉스 유럽 품목허가 승인 권고,1
포항시장 포스코홀딩스 서울 설립 반대 1인시위 시 포스코 관계 급속 냉각,-1
반도체 경기침체 직격탄 삼성전자 어닝쇼크,-1
삼바 5공장 가동 5개월 앞당길 것 수주 증가로 속도전,1
에스디생명공학 35억원 규모 사채원리금 미지급 발생,-1
PF보증 부담 커진 태영건설 신용등급 A 강등,-1
"신도리코, 사이냅소프트와 AI 전자문서 솔루션 사업협력",0
현대차 2022년 글로벌 수소차 판매 1위,1
"LS전선, 관계사 LS알스코 통해 수소연료전지 부품 사업 확대",1
에스넷시스템 인성정보 지분 126만주 매각 53억원 확보로 미래 먹거리 육성 투자,1
LG 구광모 회장에 가족이 상속회복청구소송 LG 합의따른 적법한 상속,-1
SK온 프리IPO 곧 마무리 투자금 마련,1
강원랜드서 탕진 후 강도행각 벌인 50대 항소심도 징역 6년,-1
메디톡스 해외 첫 생산기지 건설 두바이 국영기업과 톡신 완제품 공장 건립 MOU,0
동아에스티 스텔라라 바이오시밀러 유럽 품목허가 신청,0
법원 택배노조 교섭 거부한 CJ대한통운 부당노동행위,-1
삼성전기 車 전장용 MLCC 총력전,0
교섭권 얻더니 CJ대한통운 택배 파업 예고,0
카카오뱅크 카카오 연계 서비스 정상화,-1
노소영 관장이 낸 최태원 회장 동거인 30억 손배소 재판절차 돌입,-1
카카오엔터 美 콘텐츠사 타파스엔터 한국법인 청산,0
HD현대일렉트릭 세계 최초 1MW급 빌딩용 직류배전 설비 상용화,1
노동부 대우조선 끼임 사망 사고는 중대재해,-1
위메이드 국회 로비설 주장한 위정현 게임학회장 형사고소,-1
"신성이엔지, 엘리미네이터 및 외조기 관련 특허 취득",0
삼성SDS 비마이프렌즈와 글로벌 물류사업 강화,-1
성장통 직면한 현대 기아차,-1
삼성의 분노 좌시 없다 韓 기술 사람 빼돌려 만든 中 BOE 겨냥,-1
폴더블폰도 밀려나나 세계 1위 삼성 중국폰에 치인다,-1
DB손보 A M Best 신용평가등급 A 로 상향,1
금감원 김범수 카카오 센터장 소환조사 한다,0
삼바 1조2천억원 규모 화이자 제품 위탁생산한다,1
검단신도시 건설 현장 붕괴 여파 GS건설 주가 하락,-1
PB가격 올린 이마트 수익성 개선 총력,-1
임종룡 우리금융 회장의 언행불일치 기업대출 지지부진,-1
삼성 LG디스플레이 LCD 접고 차세대 디스플레이 집중,-1
LG엔솔 SK온 배터리 영토확장 美 유럽 보조금 승인,1
"F&F 수프라, 中 첫 수주회서 300억원 수주...’제2 MLB’ 도약기대",1
"유비쿼스, LG유플러스와 1794억 규모 계약 체결",1
대형 화재 한국타이어 대전공장 전면 가동 중단,0
회사는 달라도 같은 돈 달라 5사 총파업 앞세운 HD현대 노조,0
SGC에너지 주당 1700원 현금 배당과 자사주 소각,0
BTS 불확실성 해소하고 빠른 복귀 기약한 듯,0
DL건설 서울서 가로주택정비사업 3건 동시 수주 2000억원 규모,1
이복현 불공정거래시 엄벌 SK 알케미스트 의혹 이달 결론,-1
730억 4300억 美 차세대 배터리 업체 상장으로 SK 활짝,0
삼성디스플레이 기술 유출에 칼 뽑았다 美서 BOE 특허 소송,-1
포스코 집단 식중독 원인 ‘도시락 살모넬라균’,0
EU 대한항공 아시아나 합병 심사 내년 2월 14일까지 결론,0
경찰 태광그룹 압수수색 이호진 회장 수십억원 배임 혐의,-1
포스코홀딩스 美 점토 리튬사업 추진,0
1년에 4000대 로봇이 로봇 만드는 두산로보틱스 수원공장,0
전기료 부채질하는 기름값 한전 부채 200조 넘겨,-1
삼성SDS 비마이프렌즈와 글로벌 물류사업 강화,1
삼성重 삼성전자 반도체 공장 공사 수주 1600억 규모,0
네이버 카카오 제휴언론사 평가 공정성도 전문성도 의문,-1
종근당 코로나19 치료제 글로벌 임상 3상 돌입에 강세,1
대웅제약 위식도역류질환 신약 美 기술수출 4800억원 지분,0
HD현대 대우조선해양 삼성重 잇단 수주 낭보,1
현대건설 8456억 규모 도시개발사업 공사 수주,-1
성장통 직면한 현대 기아차,1
기아 레이 폭스바겐 ID 4 등 9개 차종 5만4412대 리콜,-1
승객 짐 두고 온 영국발 아시아나항공 여객기 안전 문제 때문,-1
현대미포조선 중형 PC선 4척 2401억 수주,1
"삼성전자 자회사 하만, 헝가리에 신공장 설립…생산량 증가 대응",0
한전 적자 키우는 태양광의 저주,-1
포항시장 포스코홀딩스 서울 설립 반대 1인시위 시 포스코 관계 급속 냉각,-1
동부건설 성산포항 화물부두 확충공사 수주,1
현대차그룹 국내에 63조원 투자 미래차 허브로 육성,1
"[단독]‘기사형 광고 연합뉴스 송출중단’ 檢, 네이버·카카오 불기소 처분",-1
SKC 자회사 SK엔펄스 직원들 노조 설립,0
검찰 이학영 취업청탁 의혹 CJ대한통운 한국복합물류 압수수색,-1
고바이오랩 대사질환 치료 소재 러시아 특허 등록,1
LG유플러스 인터넷 또 접속장애 디도스 공격 추정,-1
유틸렉스 국내 최초 고형암 CAR T 치료제 임상 예정,0
반도체 경기침체 직격탄 삼성전자 어닝쇼크,-1
컴투스 게임 콘텐츠 전방위적 M A 글로벌 경쟁력 키운다,1
현대차그룹 국내에 63조원 투자 미래차 허브로 육성,0
SKB 넷플릭스 망 대가 산정 방식 두고 이견 되풀이,-1
차량 문 열면 주차브레이크 해제 현대차 아이오닉 5 리콜,-1
삼성重 삼성전자 반도체 공장 공사 수주 1600억 규모,0
美 컨슈머리포트 최고의 대형 TV 삼성 LG 등극,1
바닥이 어디야 D램 낸드 가격 붕괴 에 삼성 SK 한숨,-1
SK에코플랜트 창원국가산단 입주기업에 태양광 전력 공급,1
메디톡스 美국제무역위원회에 대웅제약 제소,1
HD현대오일뱅크 바이오사업 본격화 팜잔사유 8만톤 확보,1
LG엔솔 1 7月 전기차 배터리 2위 中 CATL 바짝 추격,0
보람상조 쿠쿠홈시스와 제휴 영업망 확대로 윈윈,0
연평균 1천여 시간 비행하다 위암 사망 전 대한항공 승무원 첫 산재 인정,0
롯데면세점 멜버른공항 면세점 운영권 획득,1
위메이드 입법로비설 제기 위정현 게임학회장 고소,0
아시아나 조종사노조 임금 협상 결렬 10일 노동위 조정신청,0
아프리카TV 트위치 한국 서비스 종료 수혜 기대감에 강세,0
KAI 5000억 부채 일시 상환 수주 자신감 대규모 투자 준비,-1
SK스퀘어 3분기도 적자 현금유입 5403억원,-1
횡령 배임 조현범 한국타이어 회장 구속 증거인멸 염려,-1
베트남 GS25 남부 지역 1위 등극 흑자전환 코앞,1
한국전력 소들섬 철탑공사 중단하고 지중화 위한 대화 나서야,0
코오롱인더 슈퍼섬유 아라미드 2배 증설 완료 2989억원 투자,0
"대법원 ""'타다' 불법콜택시 아니다""…이재웅 무죄 확정",0
한국전력 재정난 우려에 文 공약 한전공대 추진 동력 흔들,-1
성장통 직면한 현대 기아차,-1
카카오 비욘드 모바일 글로벌 기업 입지 강화,0
카카오뱅크 카카오 연계 서비스 정상화,1
카카오 SM 주식취득 급제동 법원 가처분 인용,-1
카카오엔터 불법 유통 웹툰 웹소설 1 420만 건 차단,0
SKC 반도체 소재 부품 사업 SKC솔믹스로 통합,1
지엔원에너지 리튬 사업 속도낸다 800억원 실탄 확보,1
한전 UAE 원전사업 성공적 완수 제2 3 해외원전 수주 핵심기반,1
"공정위, 크래프톤·카카오게임즈 '외주업체 갑질' 여부 현장 조사",-1
한국조선해양 선박용 연료전지 개발 박차,0
성장통 직면한 현대 기아차,1
증시서 희비 엇갈리는 플랫폼 사업 경쟁사 카카오 네이버,1
드디어 급물살 탄 HMM 매각 성패 변수는 업황,-1
에이프로젠 면역관문 항암항체 특허 출원 T세포 매개 이중항체항암제 개발,1
포항시장 포스코홀딩스 서울 설립 반대 1인시위 시 포스코 관계 급속 냉각,0
현대차 차값 인하 내수진작 물가안정 명분 실리,1
삼성 엘리엇 일부 승소 판결에 특별한 입장 없어,0
기아 英 오토카 선정 최고의 제조사,1
JYP엔터 장중 신고가 내년 이익 20 증가 기대,0
싸이토젠 700억원 투자 유치 글로벌 액체생검 시장 진출 탄력,1
SM 시세조종 의혹 檢 카카오 압수수색,-1
KT 미래먹거리 5년간 27조원 투자,1
개인정보위 LG유플러스 개인정보 추가 유출 건 사실조사,-1
현대차 LG엔솔 이달 美배터리 공장 확정,0
검찰 부동산 거래 비리 의혹 아난티 삼성생명 압수수색,-1
셀트리온제약 PFS 생산시설 브라질 GMP 인증 획득,0
한미약품 새로운 도전으로 글로벌 성과 가시화,0
노소영 관장이 낸 최태원 회장 동거인 30억 손배소 재판절차 돌입,0
주차장 붕괴 사고 GS건설의 씁쓸한 뒷북 사과,-1
독일 IFA에서 불붙는 LG vs 삼성 가전 자존심 대결,1
GS건설 올해 도시정비사업 수주 6조원 돌파,1
긴 터널 끝 보이는 넷마블 4분기 흑자전환 기대감,1
정유업 호황 지나고 위기로 에쓰오일 새 수장의 과제는,-1
투자 귀재 녹십자의 새로운 픽 ADC 품었다,0
VR로 사고 체험...안전 불감증 없애는 CJ대한통운,0
카카오페이 증권업 진출 시너지 기대 vs 수익성 확보 우려,1
삼성SDI 차세대 배터리 소재 합작법인 설립,0
"HD현대 ""아마존 불법 금 채굴 중장비 판매 중단""",-1
전경련 활동 접었던 삼성 6년 만에 뒤집나,-1
DL이앤씨 5000억원대 부산 재개발 사업 따냈다,1
"아워홈, 해외사업·HMR '두마리 토끼' 잡는다",0
법원 네이버 위키리스크 퇴출 부당 언론사 첫 승리,1
애플 내년부터 디스플레이도 자체조달 삼성 LG 의존 줄이려,-1
LG엔솔 1 7月 전기차 배터리 2위 中 CATL 바짝 추격,1
교섭권 얻더니 CJ대한통운 택배 파업 예고,0
신흥 강자 쿠팡 글로벌 유통기업 74위 롯데쇼핑 넘고 이마트 위협,0
조원태 한진 회장 2023년 아시아나 인수 마무리,0
현대차 노조 합법적 파업권 확보 먹구름 낀 현대차,-1
개인정보위 18만 고객정보 유출 LG유플러스 조사 착수,-1
현대 기아차 전기차 시장 선두업체로,1
기아·LG전자 덕분에 … 그룹株 ETF 질주,1
현대차 日 승용차 시장 다시 도전장 아이오닉5 등 친환경차 중심 공략,-1
수주 잔액 1.5조 돌파…반등 성공한 대한전선,1
LS전선 동해 HVDC 해저케이블 공장 준공,1
현대두산인프라코어 튀르키예서 3131억 규모 전차용 엔진 수주,1
코오롱글로벌 서울 번동1 8구역 가로주택정비사업 싹쓸이 수주,1
해성옵틱스 녹원씨엔아이로부터 해화 지분 150억원 취득,1
동아에스티 스텔라라 바이오시밀러 유럽 품목허가 신청,1
"고려아연, 그린수소 年 155톤 생산…호주 SunHQ 착공",0
KCGI운용 현대엘리베이터 첫 단추 끼웠지만 미흡 자사주 전량 소각해야,-1
삼성물산 합병 엘리엇에 일부 패소 韓정부 1300억 지급해야,-1
LG디스플레이 세계 최초 원형 플라스틱 OLED 양산,1
오스템임플란트 횡령직원 검거 자금 회수 파란불,0
현대車 2025년까지 전기차 14종으로 확대,-1
카카오모빌리티 업무용 택시사업,0
클래시스 신규 장비 볼뉴머 로 고주파 기기 시장 공략,1
SKT 헬스케어의 커지는 '불확실성'…AIA 생명과 제휴서비스 '종료',-1
대형 화재 한국타이어 대전공장 전면 가동 중단,-1
금호타이어 경영정상화에 가속도,1
GC녹십자 패치형 인플루엔자 백신 임상 1상서 안전성 확인,1
"SK케미칼 제약사업부, 사모펀드에 판다",0
티웨이항공 장거리 기종 추가 도입 검토 북미 유럽 노선 취항 포석,-1
포스코그룹 국내 최초 리튬 생산 고효율 전기강판 공장 준공,0
NHN클라우드 1500억원 투자 유치 기업가치 1조 유니콘 등극,0
"휴온스바이오파마, 새 보툴리눔 톡신 제제 임상 3상 돌입",0
LS 전기차 배터리 핵심 소재 황산니켈 공장 준공,0
삼성전자 美암바렐라와 5나노 자율주행 車반도체 생산,0
에이프로젠H G 400억 규모 BW 발행,0
현대차 노조 합법적 파업권 확보 먹구름 낀 현대차,0
SK트레이딩인터내셔널 대경오앤티 투자로 바이오 항공유 원료 확보,0
"‘자산 총액 5조원↑’ 넷마블·넥슨·크래프톤, 기업 순위 동반 하락",-1
카카오 비욘드 모바일 글로벌 기업 입지 강화,-1
대웅제약 위식도역류질환 신약 美 기술수출 4800억원 지분,1
동아에스티 스텔라라 바이오시밀러 유럽 품목허가 신청,1
메디톡스 보톡스 균주 도용 1심 소송서 대웅제약에 승소,0
대한항공 · 아시아나 안 쓴 마일리지 3조 4천억…4년새 17.4%↑,1
한국조선해양 LNG VLCC 등 선박 6척 수주 1조 원 규모,1
모바일게임 인기순위 각축전 넥슨 강세,1
한세실업 북미공략 ‘빨간불’...중남미공장 이전 등 전략 실패,-1
아내 이름으로 차명 고문료 KT 전 사장 임직원 뒷돈 포착,0
삼성重 삼성전자 반도체 공장 공사 수주 1600억 규모,-1
"한국해운조합, 내항선원 비과세 확대 촉구",0
한국조선해양 LNG VLCC 등 선박 6척 수주 1조 원 규모,1
신풍제약 코로나19 치료제 신드롬 3상 실패로 마무리,-1
현대차 3월 글로벌 시장서 38만1885대 판매 전년比 21 3 상승,0
전기요금 인상 막힌 한전 채권 발행 상승 구축효과 먹구름,-1
기아 벤츠 현대차 등 22만여 대 제작 결함 리콜,-1
카카오페이 증권업 진출 시너지 기대 vs 수익성 확보 우려,0
현대캐피탈 신용평가 등급전망 긍정적 상향,-1
아시아나 조종사노조 임금 협상 결렬 10일 노동위 조정신청,-1
KT 미래먹거리 5년간 27조원 투자,-1
"CU ""PB 단백질 음료, 대기업 제조 제품 제치고 판매 1위""",1
현대차 기아 벤츠 등 32만여대 제작결함 리콜,-1
효성티앤에스 디지털 자산 신사업 추진 NFTtown 오픈 예정,0
포스코 비용절감 품질향상 등 中企 성장 뒷받침,1
대웅제약 위식도역류질환 신약 美 기술수출 4800억원 지분,1
한국타이어 대전공장 소방시설 점검서 불량 수두룩,-1
DL건설 광주 새 주거벨트서 e편한세상 봉선 셀레스티지 공급,1
HK이노엔 골 질환 치료제 데노수맙 바이오시밀러 도입 1200억원 시장 정조준,1
SM 시세조종 의혹 檢 카카오 압수수색,-1
현대두산인프라코어 튀르키예서 3131억 규모 전차용 엔진 수주,1
대우조선해양 등,-1
SK 2000억원 자기주식 매입 결정 주주가치 이어간다,0
한국조선해양 일주일 새 가스운반선 7척 잇달아 수주,1
대웅제약 위식도역류질환 신약 美 기술수출 4800억원 지분,0
AI SW 바이오 클린테크 LG 미래먹거리에 5년간 54조 투자,0
RV 열풍에 스포티지쏘렌토 불티 중고차 시장까지 점령,1
SK바이오팜 뇌전증약 中 임상 3상 속도,1
LGD 웰컴 투 삼성 대형 OLED 속내는,1
현대차 아이오닉 5 美 전문지 선정 2022 올해의 전기차 등극 벤츠 BMW 제쳐,-1
카카오 알뜰폰 스테이지파이브 통신망 주요 3사로 확대,0
우리들병원 불법대출 위증 의혹 신한은행 직원 기소,-1
"""정의선 회장의 2년 전 승부수 통했다""...현대오토에버, 자율선박 진출",1
한국조선해양 LNG VLCC 등 선박 6척 수주 1조 원 규모,1
미래에셋 금리 ETF 삼성 KODEX 제쳤다,0
DL·GS·대우도 못 믿어…‘아파트 하자’ 다발 대기업에 국민들 ‘분통’,-1
정보 유출 디도스 LGU 보안 취약 탓 2차 피해 가능성,-1
美 컨슈머리포트 최고의 대형 TV 삼성 LG 등극,1
PF보증 부담 커진 태영건설 신용등급 A 강등,-1
"기대작 베일 벗자, 엇갈리는 K게임株…엔씨↓ vs 네오위즈↑",0
모바일게임 인기순위 각축전 넥슨 강세,-1
온신협 “네이버 뉴스약관 불공정”… 의견서 전달,-1
카카오 비욘드 모바일 글로벌 기업 입지 강화,-1
람보르기니와 손잡은 한국타이어 고성능 타이어 기술력 입증,1
네이버 영화 문 닫는다 서비스 22년여 만에 종료,-1
삼성전기 車 전장용 MLCC 총력전,0
롯데홈쇼핑 6개월간 새벽시간 방송 중단,0
SK 2000억원 자기주식 매입 결정 주주가치 이어간다,0
삼성 LG 고효율 공조 솔루션으로 북미 시장 공략,0
셀트리온헬스케어 佛 자가면역질환 치료제 점유율 확대 가속화,1
아시아나 조종사노조 임금 협상 결렬 10일 노동위 조정신청,-1
삼성전자 레인보우로보틱스 589억 투자 로봇사업 본격 확대,0
쌍용차 6년만에 흑자전환 토레스 가 이끌어,1
HD현대일렉트릭 네옴시티 전력기기 수주 따냈다,1
스튜디오산타클로스 K 콘텐츠기업 케이엔터홀딩스 에 전략적 투자,0
"더블유게임즈, 71억원 규모 자사주 소각",0
성장통 직면한 현대 기아차,-1
"글랜우드PE, SK케미칼 제약 사업부 인수 추진중…최대 6500억원",0
HK이노엔 위식도역류질환 신약 케이캡 멕시코 품목허가,1
셀트리온 410억 규모 램시마IV 등 공급계약 체결,0
먹튀 사태 카카오에 큰 상처 직원 경영진 갈등봉합 시급,0
제넥신 본업 지지부진한데 부동산에만 열올리는 까닭,-1
올해 2 7조원 수주한 삼성바이오 3조원 초과 돌파 청신호,1
네이버의 라인 결국 일본서 라인뱅크 포기,-1
금감원 김범수 카카오 센터장 소환조사 한다,-1
현대차그룹 국내에 63조원 투자 미래차 허브로 육성,1
KT 미래먹거리 5년간 27조원 투자,0
현대 코나EV 포함 한국GM 볼보 등 6456대 결함 리콜,-1
강스템바이오텍 CDMO 사업 확장 세포유전자치료제로 다변화 박차,1
네이버·카카오로 공공기관 로그인 확대…오류 발생 때 정부 보고,0
삼성전자 작년 전기요금만 2조 기업도 에너지 절감 발등의 불,-1
남부발전 동기조상기 국산화기술 개발 나서,0
與 위메이드 찾으며 공세강화 野는 수박 시그널 논쟁,0
CJ대한통운 인도법인 상장 추진 예비심사 접수,0
LG화학 유니세프와 2억달러 규모 필수백신 공급계약,1
삼성 LG디스플레이 LCD 접고 차세대 디스플레이 집중,1
삼성전기 전기차용 세계 최고 용량 MLCC 개발,0
CJ제일제당 K 푸드 신 영토 확장에 속도,1
DL이앤씨 3151억 규모 강북5구역 공공재개발 시공사 선정,1
네오위즈 블록체인 게임 플랫폼 인텔라 X 150억 투자 유치,1
KCC건설 KCC와 128억 상품 용역 거래,1
삼성전자 美 오스틴 공장 보험사 상대 소송 2021년 정전 피해 치명적,-1
현대차 기아 유럽 연간 판매량 100만 대 넘겨,1
한국동서발전 사우디 태양광 ESS사업 참여,1
현대차그룹 국내에 63조원 투자 미래차 허브로 육성,0
삼성SDI 차세대 배터리 소재 합작법인 설립,1
SK이노 포드와 美 합작법인 설립 배터리 영토 확장,0
신라젠 펙사벡 신장암 병용임상서 가능성 입증,1
기아 英 오토카 선정 최고의 제조사,0
검단신도시 건설 현장 붕괴 여파 GS건설 주가 하락,-1
현대모비스 글로벌 자동차 부품 6위 탈환,0
싸이토젠 배양 CTC 활용 항암제 감수성 검사 임상 돌입,1
현대차그룹 SK온 미국에 배터리 합작공장 설립 계획,0
"크리스탈지노믹스, 신주발행무효 소송 피소",-1
대우조선해양 등,0
삼성전자 1분기 세계 스마트폰 1위 수성 애플에 6 p 앞서,1
포스코인터 세넥스에너지 호주 천연가스 장기공급 계약,1
개인정보 78만건 유출 인터파크 과징금 10억3000만원,-1
임병헌 카카오톡 먹통 부른 火災 데이터센터 재발방지 입법 추진,0
글로벌 겨냥한 넷마블 국내서도 존재감 드러낼까,0
현대車 2025년까지 전기차 14종으로 확대,-1
우리금융 1세대 VC 다올인베스트먼트 인수 추진,0
현대제철 중국 베이징 법인 매각,-1
코웨이 정수기 공청기 비데 국내 브랜드파워 1위,1
티웨이항공 장거리 기종 추가 도입 검토 북미 유럽 노선 취항 포석,-1
SK텔레콤 뒤따라 LG유플러스 최대 4000억 원 규모 회사채 발행,1
현대차 SK온과 북미에 배터리공장 설립한다,0
현대제철 중국 베이징 법인 매각,-1
삼성전자 레인보우로보틱스 589억 투자 로봇사업 본격 확대,0
"맥날에 치이고, 스벅에 밀리고…롯데GRS, 휴게소·공항 식음료 사업 확장",-1
기아차 광주공장 협력사 안전사고에 도미노 가동 중단,-1
SK온 中 옌청공장에 화재 인명피해는 없어,-1
PF보증 부담 커진 태영건설 신용등급 A 강등,-1
신세계 신라 현대百 인천공항 면세점 승기 롯데 中 CDFG 탈락,-1
SPC 계열 샤니 빵공장서 또 근로자 끼임 사고 심정지,-1
롯데홈쇼핑 6개월간 새벽시간 방송 중단,-1
GS건설 올해 도시정비사업 수주 6조원 돌파,-1
성장통 직면한 현대 기아차,-1
LS엠트론 LS스마트렉 본격 양산,0
KT 檢 수사 조직적 방해 보도 사실 아냐 반박,0
롯데건설 재건축 시공권 박탈 위기,-1
'결손금 103억' 삼양목장에 눈길 가는 이유,0
롯데제과 회사채 수요예측에 1.6조원 몰려…대상·한국금융지주도 흥행,1
"LG CNS 컨소시엄, 사회보장정보시스템 사업 철수...“과업 변경에도 추가비용 없어”",-1
현대차 日 승용차 시장 다시 도전장 아이오닉5 등 친환경차 중심 공략,-1
"보령LNG터미널, 500억 회사채 발행 '흥행'",1
제네시스 GV80 생산 앞당긴다 10월부터 양산 돌입,1
현대위아 자율주행 물류로봇 상용화 현대차그룹 美 공장에 투입,0
대형 화재 한국타이어 대전공장 전면 가동 중단,-1
PF보증 부담 커진 태영건설 신용등급 A 강등,-1
에코프로비엠 주식 내부자거래 혐의로 수사,1
CJ ENM 1Q 영업손실 503억원 전년 동기비 적자전환,-1
카카오 비욘드 모바일 글로벌 기업 입지 강화,-1
"크래프톤 ""올해 1분기 글로벌 스튜디오 4곳 투자""",0
대형 화재 한국타이어 대전공장 전면 가동 중단,-1
"다보링크, LG유플러스와 69억 규모 공급계약 체결",1
JW중외제약 혁신 탈모치료제 러시아 특허 등록,0
글로벌 겨냥한 넷마블 국내서도 존재감 드러낼까,1
